Rundll32 Commands

About Windows	Rundll32.exe shell32.dll,ShellAbout
Add Network Location Wizard	Rundll32 %SystemRoot%\system32\shwebsvc.dll,AddNetPlaceRunDll
Add Printer Wizard	Rundll32.exe shell32.dll,SHHelpShortcuts_RunDLL AddPrinter
Add Standard TCP/IP Printer Port Wizard	Rundll32.exe tcpmonui.dll,LocalAddPortUI
Control Panel	Rundll32.exe shell32.dll,Control_RunDLL
Date and Time	Rundll32.exe shell32.dll,Control_RunDLL timedate.cpl
Date and Time - Additional Clocks tab	Rundll32.exe shell32.dll,Control_RunDLL timedate.cpl,,1
Desktop Icon Settings	Rundll32.exe shell32.dll,Control_RunDLL desk.cpl,,0
Device Installation Settings	Rundll32.exe %SystemRoot%\System32\newdev.dll,DeviceInternetSettingUi
Device Manager	Rundll32.exe devmgr.dll DeviceManager_Execute
Display Settings	Rundll32.exe shell32.dll,Control_RunDLL desk.cpl
Ease of Access Center	Rundll32.exe shell32.dll,Control_RunDLL access.cpl
Environment Variables	Rundll32.exe sysdm.cpl,EditEnvironmentVariables
File Explorer Options - General tab	Rundll32.exe shell32.dll,Options_RunDLL 0
File Explorer Options - Search tab	Rundll32.exe shell32.dll,Options_RunDLL 2
File Explorer Options - View tab	Rundll32.exe shell32.dll,Options_RunDLL 7
Fonts folder	Rundll32.exe shell32.dll,SHHelpShortcuts_RunDLL FontsFolder
Forgotten Password Wizard	Rundll32.exe keymgr.dll,PRShowSaveWizardExW
Game Controllers	Rundll32.exe shell32.dll,Control_RunDLL joy.cpl
Hibernate or Sleep	Rundll32.exe powrprof.dll,SetSuspendState
Indexing Options	Rundll32.exe shell32.dll,Control_RunDLL srchadmin.dll
Infared	Rundll32.exe shell32.dll,Control_RunDLL irprops.cpl
Internet Explorer - delete all browsing history	Rundll32.exe InetCpl.cpl,ClearMyTracksByProcess 255
Internet Explorer - delete all browsing history and add-ons history	Rundll32.exe InetCpl.cpl,ClearMyTracksByProcess 4351
Internet Explorer - delete cookies and website data	Rundll32.exe InetCpl.cpl,ClearMyTracksByProcess 2
Internet Explorer - delete download history	Rundll32.exe InetCpl.cpl,ClearMyTracksByProcess 16384
Internet Explorer - delete form data	Rundll32.exe InetCpl.cpl,ClearMyTracksByProcess 16
Internet Explorer - delete history	Rundll32.exe InetCpl.cpl,ClearMyTracksByProcess 1
Internet Explorer - delete passwords	Rundll32.exe InetCpl.cpl,ClearMyTracksByProcess 32
Internet Explorer - delete temporary Internet files and website files	Rundll32.exe InetCpl.cpl,ClearMyTracksByProcess 8
Internet Explorer - Organize Favorites	Rundll32.exe shdocvw.dll,DoOrganizeFavDlg
Internet Properties - General tab	Rundll32.exe shell32.dll,Control_RunDLL inetcpl.cpl
Internet Properties - Security tab	Rundll32.exe shell32.dll,Control_RunDLL inetcpl.cpl,,1
Internet Properties - Privacy tab	Rundll32.exe shell32.dll,Control_RunDLL inetcpl.cpl,,2
Internet Properties - Content tab	Rundll32.exe shell32.dll,Control_RunDLL inetcpl.cpl,,3
Internet Properties - Connections tab	Rundll32.exe shell32.dll,Control_RunDLL inetcpl.cpl,,4
Internet Properties - Programs tab	Rundll32.exe shell32.dll,Control_RunDLL inetcpl.cpl,,5
Internet Properties - Advanced tab	Rundll32.exe shell32.dll,Control_RunDLL inetcpl.cpl,,6
Keyboard Properties	Rundll32.exe shell32.dll,Control_RunDLL main.cpl @1
Lock PC	Rundll32.exe user32.dll,LockWorkStation
Map Network Drive wizard	Rundll32.exe shell32.dll,SHHelpShortcuts_RunDLL Connect
