CLI commands			Windows   		Linux
--------------------------------------------------
Change directory		cd				cd
Last filee				dir				ls
Create directory		mkdir			mkdir
Remove directory		rmdir			rmdir
Copy files				copy			cp
Move files				move			mv
Remane files			ren				mv
Display files			type			cat
Delete files			del				rm
Change personmissions	cacls/chmod		chmod
Ping					ping			ping
Traceroute				tracert			traceroute
Network config			ipconfig		ifconfig
Route table				route			route
DNS lookup				nslookup		nslookup
Network diagnostics		netsh			netstat
List processes			tasklist		ps
End process				taskkill		kill
System info				systeminfo		uname -a
Disk usage				wmic/fsutil		df
System monitoring		perfmon			top/htop
